"","zone_id","year","month","day","hour","load","station_1","station_2","station_3","station_4","station_5","station_6","station_7","station_8","station_9","station_10","station_11"
"1","1","2005","3","6","1",40263.48828125,34,30,29,31,29,31,31,30,29,31,29
"2","1","2005","3","6","2",31895.82421875,34,31,28,32,29,32,30,30,29,32,30
"3","1","2005","3","6","3",30139.224609375,31,31,28,30,29,32,29,31,28,31,31
"4","1","2005","3","6","4",30601.724609375,34,34,30,30,29,33,28,30,28,33,29
"5","1","2005","3","6","5",30823.103515625,34,31,29,27,29,32,26,29,28,31,30
"6","1","2005","3","6","6",32350.40625,34,33,28,27,30,32,26,29,27,31,36
"7","1","2005","3","6","7",34449.27734375,34,36,27,27,29,32,26,28,28,31,34
"8","1","2005","3","6","8",44298.1328125,28,34,29,27,28,32,26,28,28,30,31
"9","1","2005","3","6","9",38985.46484375,35,37,33,33,33,36,31,34,32,35,36
"10","1","2005","3","6","10",39878.01171875,39,40,38,38,38,42,39,41,38,42,38
"11","1","2005","3","6","11",38104.375,43,42,44,45,42,46,45,46,45,46,40
"12","1","2005","3","6","12",37533.76953125,46,44,46,48,45,49,48,50,46,50,43
"13","1","2005","3","6","13",30621.095703125,47,47,46,52,47,52,51,53,50,52,46
"14","1","2005","3","6","14",29139.791015625,49,49,48,54,49,54,53,55,52,55,50
"15","1","2005","3","6","15",27862.083984375,51,52,50,56,49,56,55,59,54,57,52
"16","1","2005","3","6","16",27009.828125,53,55,51,58,50,59,57,61,57,59,53
"17","1","2005","3","6","17",28507.525390625,55,56,52,59,51,60,57,60,58,60,55
"18","1","2005","3","6","18",31836.734375,55,56,53,59,51,59,58,60,58,60,54
"19","1","2005","3","6","19",36860.8828125,53,55,52,57,50,57,56,57,58,57,53
"20","1","2005","3","6","20",35675.12890625,52,54,50,54,47,54,54,55,54,55,52
"21","1","2005","3","6","21",37405.70703125,51,52,48,53,47,54,52,53,51,54,47
"22","1","2005","3","6","22",37336.61328125,52,48,50,52,46,51,51,53,49,52,47
"23","1","2005","3","6","23",34211.70703125,51,49,46,52,46,51,49,51,47,52,49
"24","1","2005","3","6","24",29550.587890625,47,47,46,51,44,48,47,51,45,51,47
"25","1","2005","3","7","1",34211.70703125,47,47,44,50,42,47,48,48,44,50,48
"26","1","2005","3","7","2",25844.044921875,45,47,42,48,45,45,46,43,45,46,47
"27","1","2005","3","7","3",24087.455078125,44,45,42,46,42,43,45,40,42,43,47
"28","1","2005","3","7","4",24549.9453125,43,45,38,45,41,43,44,43,43,43,44
"29","1","2005","3","7","5",24573.787109375,44,43,42,44,41,43,45,44,43,43,39
"30","1","2005","3","7","6",25649.1953125,42,37,44,40,40,38,45,38,44,37,40
"31","1","2005","3","7","7",33562.2890625,42,39,41,40,42,39,42,40,43,39,42
