zone_id,year,month,day,hour,load,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11
1,2005,3,6,1,NA,34,30,29,31,29,31,31,30,29,31,29
1,2005,3,6,2,NA,34,31,28,32,29,32,30,30,29,32,30
1,2005,3,6,3,NA,31,31,28,30,29,32,29,31,28,31,31
1,2005,3,6,4,NA,34,34,30,30,29,33,28,30,28,33,29
1,2005,3,6,5,NA,34,31,29,27,29,32,26,29,28,31,30
1,2005,3,6,6,NA,34,33,28,27,30,32,26,29,27,31,36
1,2005,3,6,7,NA,34,36,27,27,29,32,26,28,28,31,34
1,2005,3,6,8,NA,28,34,29,27,28,32,26,28,28,30,31
1,2005,3,6,9,NA,35,37,33,33,33,36,31,34,32,35,36
1,2005,3,6,10,NA,39,40,38,38,38,42,39,41,38,42,38
1,2005,3,6,11,NA,43,42,44,45,42,46,45,46,45,46,40
1,2005,3,6,12,NA,46,44,46,48,45,49,48,50,46,50,43
1,2005,3,6,13,NA,47,47,46,52,47,52,51,53,50,52,46
1,2005,3,6,14,NA,49,49,48,54,49,54,53,55,52,55,50
1,2005,3,6,15,NA,51,52,50,56,49,56,55,59,54,57,52
1,2005,3,6,16,NA,53,55,51,58,50,59,57,61,57,59,53
1,2005,3,6,17,NA,55,56,52,59,51,60,57,60,58,60,55
1,2005,3,6,18,NA,55,56,53,59,51,59,58,60,58,60,54
1,2005,3,6,19,NA,53,55,52,57,50,57,56,57,58,57,53
1,2005,3,6,20,NA,52,54,50,54,47,54,54,55,54,55,52
1,2005,3,6,21,NA,51,52,48,53,47,54,52,53,51,54,47
1,2005,3,6,22,NA,52,48,50,52,46,51,51,53,49,52,47
1,2005,3,6,23,NA,51,49,46,52,46,51,49,51,47,52,49
1,2005,3,6,24,NA,47,47,46,51,44,48,47,51,45,51,47
1,2005,3,7,1,NA,47,47,44,50,42,47,48,48,44,50,48
1,2005,3,7,2,NA,45,47,42,48,45,45,46,43,45,46,47
1,2005,3,7,3,NA,44,45,42,46,42,43,45,40,42,43,47
1,2005,3,7,4,NA,43,45,38,45,41,43,44,43,43,43,44
1,2005,3,7,5,NA,44,43,42,44,41,43,45,44,43,43,39
1,2005,3,7,6,NA,42,37,44,40,40,38,45,38,44,37,40
1,2005,3,7,7,NA,42,39,41,40,42,39,42,40,43,39,42
1,2005,3,7,8,NA,42,41,43,39,41,39,46,40,45,39,44
1,2005,3,7,9,NA,47,44,47,47,47,45,48,50,46,44,47
1,2005,3,7,10,NA,54,50,54,53,53,51,54,55,50,51,50
1,2005,3,7,11,NA,59,55,58,60,60,57,57,60,55,58,56
1,2005,3,7,12,NA,64,58,57,65,64,61,62,65,61,62,58
1,2005,3,7,13,NA,64,62,58,70,66,65,66,69,63,66,61
1,2005,3,7,14,NA,64,65,64,70,69,69,70,71,67,69,63
1,2005,3,7,15,NA,64,65,64,71,71,70,71,72,68,71,64
1,2005,3,7,16,NA,62,66,63,71,69,71,72,72,70,72,64
1,2005,3,7,17,NA,63,66,62,72,65,70,72,73,70,72,65
1,2005,3,7,18,NA,59,64,62,70,63,68,70,71,69,70,63
1,2005,3,7,19,NA,56,62,59,67,59,66,66,67,67,67,62
1,2005,3,7,20,NA,51,61,56,64,56,63,64,65,64,64,60
1,2005,3,7,21,NA,51,58,53,63,54,60,63,64,63,62,60
1,2005,3,7,22,NA,52,57,52,61,52,61,59,63,62,62,56
1,2005,3,7,23,NA,55,58,52,62,52,61,60,63,59,62,55
1,2005,3,7,24,NA,56,57,53,62,53,61,62,63,61,63,57
1,2005,3,8,1,NA,56,56,55,62,54,60,62,62,61,62,55
1,2005,3,8,2,NA,54,55,57,62,55,60,62,63,61,62,55
1,2005,3,8,3,NA,53,54,57,60,58,56,60,62,61,60,54
1,2005,3,8,4,NA,54,49,58,54,59,53,61,58,60,56,52
1,2005,3,8,5,NA,53,48,54,53,56,52,55,54,55,54,50
1,2005,3,8,6,NA,54,46,52,53,52,52,52,53,53,53,47
1,2005,3,8,7,NA,50,45,51,54,51,53,52,53,53,53,43
1,2005,3,8,8,NA,52,41,52,56,51,52,52,54,49,53,41
1,2005,3,8,9,NA,53,39,48,57,52,51,49,55,44,51,36
1,2005,3,8,10,NA,52,36,48,56,51,49,45,57,38,50,34
1,2005,3,8,11,NA,56,36,47,57,47,47,38,51,34,45,33
1,2005,3,8,12,NA,44,34,38,48,40,42,32,41,32,42,32
1,2005,3,8,13,NA,37,34,35,37,37,41,30,38,32,41,31
1,2005,3,8,14,NA,34,35,33,35,33,40,31,37,33,42,32
1,2005,3,8,15,NA,31,34,31,36,29,42,35,42,35,44,32
1,2005,3,8,16,NA,31,32,30,42,29,42,38,44,36,43,31
1,2005,3,8,17,NA,35,32,32,44,30,41,38,44,36,42,31
1,2005,3,8,18,NA,36,30,32,44,31,39,38,44,36,40,30
1,2005,3,8,19,NA,35,28,30,42,31,36,36,41,34,37,28
1,2005,3,8,20,NA,34,27,29,39,29,34,34,38,32,35,26
1,2005,3,8,21,NA,34,27,29,37,29,34,32,37,31,34,25
1,2005,3,8,22,NA,32,26,28,36,28,33,30,36,30,33,25
1,2005,3,8,23,NA,31,26,26,35,26,31,30,35,29,32,24
1,2005,3,8,24,NA,31,25,26,34,24,31,29,33,29,31,23
1,2005,3,9,1,NA,30,25,25,32,24,31,29,31,28,31,23
1,2005,3,9,2,NA,29,25,25,31,24,29,28,31,27,29,23
